_ime,_kvadratura,_lat,_lon,_Telefon,_tipOglas,_Cena
SE IZDAVA DUKJAN 60m2 KARPOSH-4 (ANTIKO),60,42.0049214388619,21.3834929466248,076636146,Се изнајмува,1 €
DUKAN VO GTC (karshi Vero, poraneshen Goniteks),40,41.9944496556419,21.4339502920055,078399657,Се изнајмува,300 €
Dukan vo Cento ,45,42.0069283094303,21.5021785231867,075376052,Се продава,45.000 €
Се Издава Дуќан Во ТЦ. Лептокарија,35,42.0034625818338,21.3978092116957,071861780,Се изнајмува,1 €
Se Izdava lokal pozadi Univerzalna Sala,21,41.9977314479129,21.4164700079709,071736750,Се продава,7.500 МКД
Издавање на дуќан, погоден за деловен простор,19,41.9867314288092,21.4669240379353,075277857,Се изнајмува,8.000 МКД
SE IZDAVA KOMPLETNO OPREMEN AVTO SERVIS,500,42.001129253578,21.4851341599845,12345678,Се изнајмува,1 €
Dukan vo bunjakovec,23,41.9990290990506,21.4197004769707,075/426724 ,Се изнајмува,120 €
СЕ ПРОДАВА ДУЌАН ВО Т.Ц. БИСЕР,18,41.9851989393445,21.4654867978068,078814472,Се продава,18.000 €
СЕ ИЗДАВА ДЕЛОВЕН ПРОСТОР 1848 М2 КАЈ СУПЕР ТИНЕКС/БРИКОЛАЖ,1848,41.9965617629765,21.4800846576691,075/295-244; 02/5200-413,Се изнајмува,5 €
Издравам Продавам кафе бар,Паб во центар,111,41.9963329589081,21.4279673071464,076205205,Се продава,1 €
Изнајмувам разработен дуќан во ТЦ Бисер,20,41.9844764330591,21.465758465332,075284550,Се изнајмува,1 €
SE IZDAVA DUKAN OD 160M2 VO CENTAR,160,41.9972421968269,21.4249969534776,071900788,Се изнајмува,1 €
Izdavam dukan vo Kisela Voda ( Pripor ),45,41.963020338487,21.4503402596891,071200756,Се изнајмува,200 €
Se izdava dukjan blizu MIDA motors,65,42.0064841235926,21.4082818136192,071531395,Се изнајмува,По Договор
Се ИЗНАЈМУВА ДУЌАН во ТЦ Буњаковец,30,41.9987849727947,21.4206379580055,070393850,Се изнајмува,800 €
ITNO se prodava dukjan sproti Hilton hotel,45,41.9902145326997,21.4700317382813,070393863,Се продава,1 €
Деловен простор 145м2 + 245м2,400,41.9905132199176,21.4163402548428,075 350 350,Се продава,1.500 €
dukan vo centar na dracevo,42,41.9398999204493,21.516696656189,070225432,Се изнајмува,По Договор
dukan vo karpos 4,60,42.0079768674236,21.3841989222616,070389630,Се изнајмува,По Договор
Se izdava dukan lokal do Kjubi Makedonija,25,41.9900987668412,21.4356644499674,071236214,Се изнајмува,По Договор
